,Home,HFG%,H3P%,HFT%,HORB,HTOV,HAST,HPTS,Away,AFG%,A3P%,AFT%,AORB,ATOV,AAST,APTS,HRFG%,HR3P%,HRFT%,HRO,HRT,HRS,HRP,ARFG%,AR3P%,ARFT%,ARO,ART,ARS,ARP,Winner,Home_elo_before,Away_elo_before,Home_elo_after,Away_elo_after,Home_sm_before,Away_sm_before,Home_sm_after,Away_sm_after
0,CLE,.458,.227,.840,9,3,17,102,BOS,.409,.250,.760,9,11,10,99,0.4763636363636364,0.34306569343065696,0.8293650793650794,8.6,6.0,15.1,108.9,0.4385342789598109,0.35313531353135313,0.7435897435897436,10.7,9.9,13.1,102.3,H,1500.0,1500.0,1505.5906169501727,1494.4093830498273,986.4852116071767,1131.2066044368771,995.2990442347804,1122.3927718092734
1,GSW,.538,.533,.905,6,5,17,121,HOU,.485,.366,.684,10,9,12,122,0.5243179122182681,0.42024539877300615,0.8372093023255814,9.4,7.1,17.0,120.1,0.43884892086330934,0.30296127562642367,0.8152610441767069,9.4,8.7,14.6,106.8,A,1500.0,1500.0,1495.9580891559722,1504.0419108440278,1410.4744741060863,1421.573253110139,1406.5960740149999,1425.4516532012253
2,ORL,.478,.381,.759,11,8,14,116,MIA,.436,.267,.765,11,6,13,109,0.4647887323943662,0.3848797250859107,0.7650602409638554,8.2,7.0,16.6,103.1,0.4486301369863014,0.32792207792207795,0.7777777777777778,8.3,8.0,15.8,102.7,H,1500.0,1500.0,1508.4127645930691,1491.5872354069309,609.5447691718018,889.6980031769968,627.626065829376,871.6167065194227
3,WAS,.433,.273,.789,16,8,9,120,PHI,.462,.429,.737,11,6,17,115,0.4576659038901602,0.3730769230769231,0.7620689655172413,10.4,8.7,13.9,111.8,0.4606741573033708,0.3987341772151899,0.6865671641791045,10.9,8.6,17.1,108.4,H,1500.0,1500.0,1507.0373755241221,1492.9626244758779,953.8490597156688,1188.953304084383,967.6250077601478,1175.177356039904
4,BOS,.429,.393,.524,11,12,12,100,MIL,.500,.333,.833,6,6,15,108,0.4385342789598109,0.35313531353135313,0.7435897435897436,10.7,9.9,13.1,102.3,0.49122807017543857,0.38132295719844356,0.7875647668393783,6.0,7.1,14.4,103.4,A,1494.4093830498273,1500.0,1485.5159315092678,1508.8934515405595,1122.3927718092734,969.7264320031164,1107.7772664269708,984.341937385419
5,MEM,.424,.310,.571,15,9,11,103,NOP,.380,.280,.828,16,4,17,91,0.44950738916256155,0.3466666666666667,0.752,8.0,8.1,12.8,102.2,0.460093896713615,0.33876221498371334,0.759656652360515,10.7,7.8,16.2,106.5,H,1500.0,1500.0,1511.6362151830538,1488.3637848169462,494.72115540323375,1025.924875450058,533.3760114100678,987.2700194432239
6,DAL,.442,.378,.857,9,5,15,111,ATL,.511,.500,.800,14,11,13,117,0.420863309352518,0.3819241982507289,0.7605633802816901,9.0,7.0,14.8,99.5,0.4654161781946073,0.424,0.7878787878787878,8.8,8.8,15.1,105.6,A,1500.0,1500.0,1492.267271820273,1507.732728179727,636.5978635878624,559.4301389918434,626.5553766563996,569.4726259233062
7,UTA,.506,.375,.938,6,9,15,106,DEN,.468,.481,.917,7,4,20,96,0.45879458794587946,0.37992831541218636,0.8548387096774194,8.2,9.6,16.0,101.1,0.4713603818615752,0.4050179211469534,0.7142857142857143,10.5,7.7,16.1,106.8,H,1500.0,1500.0,1510.3775161627193,1489.6224838372807,1121.4272596578116,929.7558182542849,1125.910202646246,925.2728752658505
8,SAS,.461,.381,.895,12,8,11,107,MIN,.435,.421,.739,11,7,13,99,0.4241733181299886,0.3271889400921659,0.7477064220183486,13.3,7.4,14.1,97.8,0.47107438016528924,0.38222222222222224,0.7817460317460317,10.6,8.5,15.6,108.1,H,1500.0,1500.0,1509.0793108366963,1490.9206891633037,989.2004958526605,997.0416836129594,998.5432874929108,987.6988919727091
9,SAC,.477,.348,.800,9,5,17,100,HOU,.398,.267,.931,12,7,14,105,0.44086021505376344,0.34134615384615385,0.7681159420289855,8.8,7.3,15.1,91.5,0.4481132075471698,0.31264367816091954,0.7907949790794979,9.2,8.9,14.4,108.5,A,1500.0,1504.0419108440278,1493.0669088239952,1510.9750020200327,439.1024009575552,1425.4516532012253,439.07558119805265,1425.478472960728
10,TOR,.470,.448,.929,13,10,17,117,CHI,.416,.313,.889,10,7,19,100,0.4675324675324675,0.30990415335463256,0.768,9.2,8.8,13.6,108.1,0.40229885057471265,0.330188679245283,0.7730061349693251,10.4,6.3,14.8,93.1,H,1500.0,1500.0,1514.6474739107482,1485.3525260892518,1376.2202505411635,448.3333150588847,1376.3003952805796,448.2531703194686
11,OKC,.433,.289,.727,13,14,18,105,NYK,.405,.292,.684,11,8,25,84,0.45895953757225433,0.35555555555555557,0.7409326424870466,10.3,9.6,14.5,104.9,0.45964912280701753,0.3448275862068966,0.7980769230769231,10.2,8.0,17.3,104.2,H,1500.0,1500.0,1516.947581456781,1483.052418543219,980.0304927202878,649.9056815374688,983.5181135145625,646.4180607431941
12,LAL,.407,.250,.609,12,8,19,92,LAC,.393,.364,.923,17,12,14,108,0.47202797202797203,0.296137339055794,0.7355769230769231,8.4,8.2,16.0,103.2,0.44405182567726736,0.36082474226804123,0.7785977859778598,12.2,7.8,14.0,107.0,A,1500.0,1500.0,1485.9414147950151,1514.0585852049849,776.8362625092007,869.1292737480828,767.142509631249,878.8230266260344
13,IND,.449,.222,.667,6,1,12,96,POR,.484,.474,.765,11,5,9,114,0.47447795823665895,0.4049586776859504,0.7607655502392344,9.2,7.3,13.5,107.5,0.4277456647398844,0.3584905660377358,0.8206106870229007,11.3,6.8,14.4,105.0,A,1500.0,1500.0,1484.7694995991114,1515.2305004008886,992.5250597520737,993.3647445427425,977.3415679387741,1008.5482363560421
14,MIL,.463,.314,.833,8,9,14,97,CLE,.543,.423,1.000,9,8,17,116,0.4943109987357775,0.37549407114624506,0.7897196261682243,5.9,7.1,14.6,104.6,0.4721549636803874,0.3237410071942446,0.8242677824267782,8.3,5.6,15.6,106.7,A,1508.8934515405595,1505.5906169501727,1492.892904087394,1521.591164403338,984.341937385419,995.2990442347804,969.1653453214126,1010.4756362987868
15,PHI,.380,.313,.750,14,7,16,92,BOS,.417,.345,.688,14,4,19,102,0.4606741573033708,0.3987341772151899,0.6865671641791045,10.9,8.6,17.1,108.4,0.4385342789598109,0.35313531353135313,0.7435897435897436,10.7,9.9,13.1,102.3,A,1492.9626244758779,1485.5159315092678,1482.2991920488298,1496.179363936316,1175.177356039904,1107.7772664269708,1162.1067874243533,1120.8478350425214
